datetime,count,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source,tzoffset,day
2020-02-07,32643,1581051600,13.2,0.7,4.5,13.2,-5.1,1.5,0.6,77.79,6.25,,54.17,,0.0,0.0,63.3,37.0,170.7,990.0,91.6,9.9,74.2,2.9,2.0,07:00:17,1581076817,17:20:27,1581114027,0.48,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,7
2020-02-08,32783,1581138000,4.3,-1.2,1.6,3.2,-6.4,-1.9,-8.7,46.57,0.0,,0.0,,0.0,0.0,50.0,25.3,272.2,1019.8,29.5,16.0,207.4,9.0,4.0,06:59:09,1581163149,17:21:41,1581200501,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,8
2020-02-09,32635,1581224400,5.5,-0.7,2.6,4.4,-5.3,-0.1,-2.5,69.71,0.0,,0.0,,157.5,157.5,,16.3,60.1,1031.1,67.5,16.0,236.8,10.2,5.0,06:58:00,1581249480,17:22:55,1581286975,0.5,Partially cloudy,Partly cloudy throughout the day.,snow,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,9
2020-02-10,26732,1581310800,8.3,5.5,6.7,6.5,2.6,4.4,2.6,76.12,8.98,,54.17,,94.5,252.0,40.7,21.2,219.0,1021.5,84.7,12.9,52.0,1.9,1.0,06:56:49,1581335809,17:24:09,1581373449,0.52,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,10
2020-02-11,37789,1581397200,8.8,6.6,7.3,8.3,3.9,6.4,5.5,88.81,4.87,,50.0,,0.0,84.0,37.1,16.0,159.0,1013.3,87.4,8.9,57.3,2.3,1.0,06:55:37,1581422137,17:25:23,1581459923,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,11
2020-02-12,49336,1581483600,7.8,3.8,5.5,6.8,-0.2,3.2,-4.4,49.54,0.37,,8.33,,0.0,0.0,46.4,22.8,252.4,1019.6,43.4,15.8,232.6,10.0,5.0,06:54:23,1581508463,17:26:36,1581546396,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,12
2020-02-13,37413,1581570000,6.2,2.6,4.4,5.0,0.7,2.8,2.1,85.77,11.89,,50.0,,0.0,0.0,55.4,19.9,200.5,1007.0,81.8,8.6,31.2,1.2,1.0,06:53:08,1581594788,17:27:49,1581632869,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,13
2020-02-14,36921,1581656400,4.3,-7.1,-0.9,1.4,-13.1,-5.3,-12.4,43.1,0.0,,0.0,,0.0,0.0,49.4,26.6,296.8,1024.2,9.7,16.0,333.2,14.4,6.0,06:51:52,1581681112,17:29:03,1581719343,0.67,Clear,Clear conditions throughout the day.,clear-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,14
2020-02-15,21598,1581742800,-1.2,-9.4,-5.1,-1.2,-14.2,-8.7,-14.8,46.94,0.0,,0.0,,0.0,0.0,35.3,15.1,203.7,1034.2,3.5,16.0,305.9,13.2,6.0,06:50:35,1581767435,17:30:15,1581805815,0.73,Clear,Clear conditions throughout the day.,clear-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,15
2020-02-16,27276,1581829200,6.4,-1.7,2.6,6.4,-7.2,-0.1,-5.0,58.02,0.0,,0.0,,0.0,0.0,33.5,20.2,230.1,1021.7,41.9,16.0,150.8,6.5,3.0,06:49:16,1581853756,17:31:28,1581892288,0.78,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['72502594741', '72505394728', 'KTEB', 'KLGA', 'KNYC', 'F1417', '72503014732']",obs,,16
